iter	Passed	Remaining
582	9132	2161
583	9149	2146
584	9165	2130
585	9181	2115
586	9199	2099
587	9216	2084
588	9232	2069
589	9249	2053
590	9265	2038
591	9281	2022
592	9297	2006
593	9314	1991
594	9328	1975
595	9343	1959
596	9360	1944
597	9376	1928
598	9391	1912
599	9406	1897
600	9422	1881
601	9437	1865
602	9452	1849
603	9467	1833
604	9482	1818
605	9499	1802
606	9515	1787
607	9532	1771
608	9547	1755
609	9563	1740
610	9579	1724
611	9595	1708
612	9610	1693
613	9626	1677
614	9641	1661
615	9656	1645
616	9672	1630
617	9688	1614
618	9703	1599
619	9720	1583
620	9735	1567
621	9750	1551
622	9766	1536
623	9783	1520
624	9800	1505
625	9817	1489
626	9832	1474
627	9848	1458
628	9862	1442
629	9878	1426
630	9893	1411
631	9909	1395
632	9923	1379
633	9937	1363
634	9953	1348
635	9970	1332
636	9986	1316
637	10002	1301
638	10018	1285
639	10032	1269
640	10047	1253
641	10064	1238
642	10078	1222
643	10093	1206
644	10109	1191
645	10123	1175
646	10138	1159
647	10152	1143
648	10169	1128
649	10184	1112
650	10200	1096
651	10215	1081
652	10230	1065
653	10244	1049
654	10262	1034
655	10278	1018
656	10292	1002
657	10308	986
658	10323	971
659	10338	955
660	10353	939
661	10369	924
662	10384	908
663	10399	892
664	10414	876
665	10429	861
666	10443	845
667	10457	829
668	10472	814
669	10488	798
670	10504	782
671	10519	767
672	10534	751
673	10549	735
674	10564	719
675	10580	704
676	10596	688
677	10612	673
678	10627	657
679	10642	641
680	10658	626
681	10673	610
682	10688	594
683	10705	579
684	10721	563
685	10735	547
686	10749	532
687	10766	516
688	10781	500
689	10797	485
690	10812	469
691	10828	453
692	10843	438
693	10858	422
694	10873	406
695	10888	391
696	10903	375
697	10917	359
698	10933	344
699	10949	328
700	10964	312
701	10980	297
702	10996	281
703	11013	265
704	11027	250
705	11042	234
706	11057	218
707	11072	203
708	11087	187
709	11104	172
710	11119	156
711	11134	140
712	11150	125
713	11165	109
714	11179	93
715	11194	78
716	11211	62
717	11225	46
718	11239	31
719	11255	15
720	11269	0
