iter	RMSE
403	0.1723938672
404	0.1722469182
405	0.1720629836
406	0.1720037779
407	0.1718317029
408	0.1716937066
409	0.1716677453
410	0.1715994376
411	0.1713825133
412	0.1710700707
413	0.1710303231
414	0.1709461561
415	0.1708751194
416	0.1708107539
417	0.1706799447
418	0.1705499664
419	0.1704801657
420	0.1702444889
421	0.1701779177
422	0.1699985029
423	0.169847013
424	0.1697907218
425	0.1696605729
426	0.1695942814
427	0.1694454454
428	0.1694236586
429	0.1691936084
430	0.1688999652
431	0.1688026628
432	0.1687400261
433	0.1685865521
434	0.1683862181
435	0.1681980488
436	0.1680976618
437	0.1679912973
438	0.167904317
439	0.1678350154
440	0.1677987649
441	0.1676888988
442	0.1676346593
443	0.1676046442
444	0.1675678357
445	0.1673955403
446	0.1672784383
447	0.1672145617
448	0.1670240207
449	0.1668657727
450	0.1668089502
451	0.1667308247
452	0.1665930452
453	0.1665012945
454	0.1663345053
455	0.166239875
456	0.1660607011
457	0.1658681061
458	0.1657103462
459	0.1655329529
460	0.1654549837
461	0.1653037595
462	0.1652128792
463	0.1651582736
464	0.1651036369
465	0.1648671729
466	0.164797137
467	0.1646744548
468	0.164594822
469	0.164406669
470	0.1642264066
471	0.1640472476
472	0.1638695185
473	0.1637972996
474	0.1635950117
475	0.1634949593
476	0.163366491
477	0.1632916829
478	0.163207528
479	0.1631240857
480	0.1630142797
481	0.1629566555
482	0.1628582233
483	0.1627151241
484	0.1626442164
485	0.1625471232
486	0.1623666322
487	0.1622694272
488	0.1622031068
489	0.1621391227
490	0.1620880368
491	0.1619117605
492	0.1618026468
493	0.1617472988
494	0.1615792614
495	0.1615382211
496	0.1613818937
497	0.1612825506
498	0.1612155699
499	0.1611670927
500	0.161066417
501	0.1610197399
502	0.1609366067
503	0.1608595754
504	0.1607663083
505	0.1606791788
506	0.1606062887
507	0.160546929
508	0.1603968386
509	0.1603289076
510	0.1601568452
511	0.1600937702
512	0.1600013545
513	0.1598471892
514	0.1596666002
515	0.1595762348
516	0.1594335902
517	0.1593908712
518	0.1593358474
519	0.1592158978
520	0.1590662844
521	0.158914962
522	0.1587785517
523	0.1587097264
524	0.1585320654
525	0.1584640886
526	0.1584244627
527	0.1584141293
528	0.1583404315
529	0.1582808872
530	0.1582400945
531	0.1581198637
532	0.1579586886
533	0.1579256206
534	0.1578671675
535	0.1577793266
536	0.157653849
537	0.157409598
538	0.1572334899
539	0.1571665273
540	0.1571046738
541	0.1569575804
542	0.1567691549
543	0.1567194396
544	0.1566345884
545	0.1565696996
546	0.1565048467
547	0.156436289
548	0.1563720168
549	0.1562810482
550	0.1562350807
551	0.1560541303
552	0.1560014797
553	0.1559532841
554	0.1558975723
555	0.1558281216
556	0.1557439043
557	0.1556875344
558	0.1556330819
559	0.1555391206
560	0.1554551294
561	0.1553852398
562	0.1553019151
563	0.1552425747
564	0.1551868383
565	0.1551374214
566	0.1549218105
567	0.1547819418
568	0.1547033091
569	0.1545824297
570	0.1544436294
571	0.1543208597
572	0.1542392646
573	0.1541323983
574	0.1540316985
575	0.1538914831
576	0.1537674525
577	0.153630242
578	0.153558115
579	0.1534995584
580	0.1534438983
581	0.1533644055
582	0.1532488893
583	0.1530651391
584	0.1529126098
585	0.1528675776
586	0.1528039441
587	0.1527230481
588	0.1526384333
589	0.1525555482
590	0.1524806996
591	0.1523851568
592	0.1523013773
593	0.152265443
594	0.1521967237
595	0.1520790351
596	0.1520125156
597	0.1519693373
598	0.1518592284
599	0.1517578912
600	0.1517160636
601	0.1515171342
602	0.1514237455
603	0.1513490416
604	0.1512623155
605	0.1511929314
606	0.1510797312
607	0.1509660376
608	0.1508713326
609	0.1508410946
